"Lat","Lon","interpolated_NO2_concentration","interpolated_AQI","Year"
38.5824706,-90.27474203,25.5477381375063,23.6665335290256,"2015"
38.58265873,-90.26216917,25.4084446742709,23.5344500131206,"2015"
38.58291441,-90.24805915,25.1997464602359,23.3367629101726,"2015"
38.58333292,-90.2348107,25.0091026960745,23.1565681965625,"2015"
38.58347679,-90.24190598,25.1085229068423,23.2504764454634,"2015"
38.58454414,-90.22981971,24.9463446539222,23.0973869392175,"2015"
38.5847025,-90.22974983,24.9453129489865,23.0964146005927,"2015"
38.58471904,-90.24445327,25.151320937562,23.2909449705519,"2015"
38.58472628,-90.25151364,25.2655559005793,23.3990651317567,"2015"
38.58525305,-90.26596375,25.4931085779885,23.6147398755377,"2015"
38.58566,-90.25272,25.2922822698876,23.4243778246716,"2015"
38.58617094,-90.2781519,25.636296185872,23.7505861000101,"2015"
