"Lat","Lon","interpolated_PM10_concentration","interpolated_days_over_legal_threshold","interpolated_AQI","interpolated_est_days_mod_AQI_thresh","interpolated_est_days_sens_AQI_thresh","interpolated_est_days_unhealthy_AQI_thresh","Year"
38.573529,-90.23923,20.1243695309063,0,18.5077250597568,0,0,0,"2015"
38.57399041,-90.25247202,19.750606206585,0,18.1676132525999,0,0,0,"2015"
38.574954,-90.275931,19.1169102812838,0,17.590537688352,0,0,0,"2015"
38.5752413,-90.406085,16.9613648816439,0,15.6321335280372,0,0,0,"2015"
38.5756025,-90.3772606,17.1872163882409,0,15.8366488293783,0,0,0,"2015"
38.57575483,-90.23853716,20.1888295511184,0,18.5668180829245,0,0,0,"2015"
38.57713745,-90.25157002,19.8379152611847,0,18.2475319475772,0,0,0,"2015"
38.57831886,-90.25359672,19.8014219275288,0,18.2144311106421,0,0,0,"2015"
38.57858218,-90.23305763,20.4007342461004,0,18.7602610916503,0,0,0,"2015"
38.57902831,-90.24654182,20.0155060027812,0,18.4096058424985,0,0,0,"2015"
