Date,Source,Site ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
8/13/2020,AQS,295100085,6,24,ug/m3 SC,22,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
8/14/2020,AQS,295100085,6,22,ug/m3 SC,20,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
8/15/2020,AQS,295100085,6,20,ug/m3 SC,19,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
8/16/2020,AQS,295100085,6,16,ug/m3 SC,15,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
8/17/2020,AQS,295100085,6,21,ug/m3 SC,19,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
8/18/2020,AQS,295100085,6,20,ug/m3 SC,19,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
8/19/2020,AQS,295100085,6,22,ug/m3 SC,20,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
8/20/2020,AQS,295100085,6,28,ug/m3 SC,26,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
8/21/2020,AQS,295100085,6,34,ug/m3 SC,31,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
8/22/2020,AQS,295100085,6,24,ug/m3 SC,22,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
8/23/2020,AQS,295100085,6,24,ug/m3 SC,22,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
8/24/2020,AQS,295100085,6,29,ug/m3 SC,27,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
8/25/2020,AQS,295100085,6,30,ug/m3 SC,28,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
8/26/2020,AQS,295100085,6,23,ug/m3 SC,21,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
8/27/2020,AQS,295100085,6,31,ug/m3 SC,29,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
8/28/2020,AQS,295100085,6,28,ug/m3 SC,26,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
8/29/2020,AQS,295100085,6,21,ug/m3 SC,19,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
8/30/2020,AQS,295100085,6,20,ug/m3 SC,19,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
8/31/2020,AQS,295100085,6,19,ug/m3 SC,18,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
9/1/2020,AQS,295100085,6,18,ug/m3 SC,17,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
9/2/2020,AQS,295100085,6,19,ug/m3 SC,18,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
9/3/2020,AQS,295100085,6,26,ug/m3 SC,24,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
9/4/2020,AQS,295100085,6,32,ug/m3 SC,30,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
9/5/2020,AQS,295100085,6,22,ug/m3 SC,20,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
9/6/2020,AQS,295100085,6,22,ug/m3 SC,20,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
9/7/2020,AQS,295100085,6,17,ug/m3 SC,16,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
9/8/2020,AQS,295100085,6,26,ug/m3 SC,24,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
9/9/2020,AQS,295100085,6,30,ug/m3 SC,28,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
9/10/2020,AQS,295100085,6,30,ug/m3 SC,28,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
9/11/2020,AQS,295100085,6,33,ug/m3 SC,31,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
9/12/2020,AQS,295100085,6,20,ug/m3 SC,19,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
9/13/2020,AQS,295100085,6,13,ug/m3 SC,12,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
9/14/2020,AQS,295100085,6,26,ug/m3 SC,24,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
